seg_id,seg_atd,seg_lon,seg_lat,seg_lon_beg,seg_lat_beg,seg_lon_end,seg_lat_end,seg_npts,seg_ca_pts,seg_te_pts,h_ca_min,h_ca_mean,h_ca_max,h_ca_std,h_ca_p50,h_ca_p98,h_te_min,h_te_mean,h_te_max,h_te_interp,h_te_std,msw_flag,night_flag
543,17025,23.7865329692906,-13.5624726631426,23.7865467319451,-13.5626075734645,23.7865192066361,-13.5623377528207,36,17,19,4.0565019571543,9.14802860473324,16.243190829885,3.47617803956024,9.81240469707245,16.243190829885,1113.11169433594,1113.28219443873,1113.59069824219,1113.12843282132,0.129284895617633,2,1
544,17055,23.7865054439972,-13.5622028424959,23.7865192066361,-13.5623377528207,23.7864916813583,-13.5620679321711,41,29,12,9.10434576535454,14.8506917790627,17.6148104661152,2.41279106973188,15.5768506661377,17.6056988749365,1113.01208496094,1113.22337849935,1113.46276855469,1113.09131326043,0.150307484479226,2,1
545,17085,23.7864779187349,-13.5619330218434,23.7864916813583,-13.5620679321711,23.7864641561115,-13.5617981115156,42,23,19,4.7213821704654,12.0562236889624,16.0599456721461,3.59327182092829,12.5588475468612,16.0599456721461,1112.96435546875,1113.20950478002,1113.39990234375,1113.03823051184,0.126819519700526,2,1
546,17115,23.7864503935036,-13.561663201185,23.7864641561115,-13.5617981115156,23.7864366308958,-13.5615282908544,49,38,11,2.17224328353905,11.5910439632576,16.9601036699323,4.38536958873979,13.6681214147416,16.896775641796,1113.09790039062,1113.28571111506,1113.58532714844,1113.17366634381,0.13811934485053,2,1
547,17145,23.7864228683034,-13.5613933805208,23.7864366308958,-13.5615282908544,23.7864091057111,-13.5612584701873,35,24,11,2.65283796142535,10.2938240277479,15.0421968596654,3.15051906635289,10.9369722502904,15.0421968596654,1113.11267089844,1113.3017911044,1113.47729492188,1113.09065622928,0.113784449712142,2,1
548,17175,23.7863953431343,-13.5611235598508,23.7864091057111,-13.5612584701873,23.7863815805575,-13.5609886495144,40,27,13,2.87624358948528,10.8475073513447,15.8999507378089,3.74652548677228,11.2095217432629,15.8999507378089,1113.20056152344,1113.30931678185,1113.57080078125,1113.14907198657,0.109894635978218,2,1
549,17205,23.7863678179962,-13.560853739175,23.7863815805575,-13.5609886495144,23.786354055435,-13.5607188288356,38,31,7,3.91434900948479,12.216588176681,16.207598319761,3.12974075272702,13.0684375461217,16.1600959673297,1113.23156738281,1113.33128138951,1113.44653320312,1113.18574738491,0.0768848028294393,2,1
550,17235,23.7863402928893,-13.5605839184934,23.786354055435,-13.5607188288356,23.7863265303435,-13.5604490081511,45,31,14,3.53578355274249,11.2720141428911,15.226230851137,3.20946989681044,12.0554987460644,15.226230851137,1113.22888183594,1113.42230224609,1113.62487792969,1113.24018519208,0.123742812551131,2,1
551,17265,23.7863127678133,-13.5603140978059,23.7863265303435,-13.5604490081511,23.7862990052831,-13.5601791874607,34,22,12,3.72531200764502,11.3754720963034,17.7766608585102,5.14773016892094,10.5907183926798,17.7766608585102,1113.23669433594,1113.40461222331,1113.59802246094,1113.2099330456,0.142682850176606,2,1
552,17295,23.7862852427685,-13.5600442771126,23.7862990052831,-13.5601791874607,23.7862714802538,-13.5599093667646,47,32,15,3.56042430064122,10.5854952818398,17.2900495251806,3.06680826370402,10.8911091673119,17.1501203261654,1113.13708496094,1113.26118977865,1113.54370117188,1113.09475250504,0.103281075855529,2,1
553,17325,23.7862577177547,-13.5597744564136,23.7862714802538,-13.5599093667646,23.7862439552556,-13.5596395460626,35,12,23,4.20320872261232,10.0298906639864,15.2888912303767,3.69015749136786,9.17358736389474,15.2888912303767,1113.13415527344,1113.38817828635,1113.70129394531,1113.2661700532,0.167863492177824,2,1
554,17355,23.786230192772,-13.5595046357086,23.7862439552556,-13.5596395460626,23.7862164302884,-13.5593697253547,40,14,26,5.53386866716733,9.16363483932723,11.6447380384348,1.86325373532264,8.98732030958922,11.6447380384348,1113.2861328125,1113.45286207933,1113.76220703125,1113.27534744124,0.120020185264538,2,1
555,17385,23.7862026678203,-13.5592348149979,23.7862164302884,-13.5593697253547,23.7861889053522,-13.5590999046411,29,11,18,6.18477948586246,12.2795966728465,16.3266712334853,3.3169317022553,13.2475826382968,16.3266712334853,1113.37109375,1113.50889078776,1113.767578125,1113.36664795006,0.109440801765787,2,1
556,17415,23.7861751428997,-13.5589649942814,23.7861889053522,-13.5590999046411,23.7861613804472,-13.5588300839216,32,9,23,8.76147655606701,12.4236227391559,17.4550761543378,3.24801600850602,11.8528008400506,17.4550761543378,1113.3798828125,1113.52673870584,1113.86120605469,1113.35464398575,0.132994860527913,2,1
557,17445,23.7861476180102,-13.558695173559,23.7861613804472,-13.5588300839216,23.7861338555732,-13.5585602631964,39,21,18,6.95885170096608,11.3173300413144,16.0631015721133,2.54695762810725,11.4076507579919,16.0631015721133,1113.48303222656,1113.65239800347,1113.91833496094,1113.45394125143,0.141526519031698,2,1
558,17475,23.7861200931517,-13.5584253528308,23.7861338555732,-13.5585602631964,23.7861063307302,-13.5582904424653,40,21,19,2.39247689988201,9.78076948767835,13.4561489638768,3.20672174883647,10.1367981424987,13.4561489638768,1113.55725097656,1113.72272049753,1113.99877929688,1113.55947190199,0.117157631129377,2,1
559,17505,23.7860925683243,-13.5581555320968,23.7861063307302,-13.5582904424653,23.7860788059183,-13.5580206217284,32,11,21,4.37637198090192,8.87038767740268,12.0976349047389,3.10765878190348,9.21130463855366,12.0976349047389,1113.61633300781,1113.8392624628,1114.19287109375,1113.72138842657,0.152380151091077,2,1
560,17535,23.7860650435279,-13.557885711357,23.7860788059183,-13.5580206217284,23.7860512811375,-13.5577508009856,40,20,20,5.05643740723053,9.71994130573832,12.6152398316403,2.1530253065822,10.390377152513,12.6152398316403,1113.85961914062,1114.08529663086,1114.4580078125,1113.98351603238,0.138726078211214,2,1
561,17565,23.7860375187626,-13.5576158906114,23.7860512811375,-13.5577508009856,23.7860237563877,-13.5574809802371,35,15,20,7.29987060914118,11.0200413597994,13.7869114865468,2.35308865688188,12.0625000025261,13.7869114865468,1114.09289550781,1114.32910766602,1114.62561035156,1114.1376294193,0.180341096993193,2,1
562,17595,23.7860099940284,-13.5573460698599,23.7860237563877,-13.5574809802371,23.785996231669,-13.5572111594827,39,16,23,9.80626655739525,12.6574990880745,15.2363664280012,1.78679490745119,12.9349257917186,15.2363664280012,1114.26989746094,1114.38089121943,1114.55822753906,1114.26893139649,0.0990985700751103,2,1
563,17625,23.7859824693252,-13.5570762491026,23.785996231669,-13.5572111594827,23.7859687069814,-13.5569413387226,38,24,14,4.02589004936863,12.6324045614956,17.8240920774822,3.85185864959678,12.8916503898992,17.8240920774822,1114.39123535156,1114.57155936105,1114.77795410156,1114.39236236024,0.143676779181955,2,1
564,17655,23.7859549446531,-13.5568064283396,23.7859687069814,-13.5569413387226,23.7859411823248,-13.5566715179566,39,25,14,5.17199053704735,12.8137721682996,18.2600581071704,4.4432720181776,14.4768140163164,18.2600581071704,1114.52307128906,1114.68403843471,1114.96484375,1114.50118711429,0.120872395649873,2,1
565,17685,23.785927420012,-13.5565366075706,23.7859411823248,-13.5566715179566,23.7859136576993,-13.5564016971847,38,27,11,5.0022586884445,12.2797051613383,17.9906643198458,4.39091126497601,13.149288390097,17.9906643198458,1114.54455566406,1114.6777454723,1114.84826660156,1114.57963678295,0.0969538714381747,2,1
566,17715,23.785899895402,-13.5562667867959,23.7859136576993,-13.5564016971847,23.7858861331048,-13.5561318764071,36,12,24,4.66299788395986,10.3365054930248,15.8364870121861,3.3937449311074,11.4296550110826,15.8364870121861,1114.73449707031,1115.04722086589,1115.41638183594,1114.85415485739,0.154890367280563,2,1
567,17745,23.7858723708231,-13.5559969660154,23.7858861331048,-13.5561318764071,23.7858586085414,-13.5558620556237,41,28,13,4.00717695479284,13.8180362937969,18.7558199953473,3.05731785803368,14.0003043794757,18.7386794412752,1115.05883789062,1115.29337252103,1115.56237792969,1115.08276532072,0.153311592587991,2,1
568,17775,23.7858448462752,-13.555727145229,23.7858586085414,-13.5558620556237,23.785831084009,-13.5555922348344,53,32,21,3.03151231526317,14.886642046315,20.6024929141124,4.91562472070296,16.8473039541457,20.5647847543605,1115.19165039062,1115.38186500186,1115.72155761719,1115.22678739663,0.138188726133122,2,1
569,17805,23.7858173217583,-13.5554573244369,23.785831084009,-13.5555922348344,23.7858035595077,-13.5553224140393,43,22,21,3.0639906034346,12.5297130400721,18.3689124198879,4.94175105899202,12.6628695985949,18.3689124198879,1115.40588378906,1115.55514671689,1115.87341308594,1115.40848984016,0.135880296580022,2,1
570,17835,23.7857897972726,-13.5551875036389,23.7858035595077,-13.5553224140393,23.7857760350374,-13.5550525932384,38,28,10,2.40311148226738,11.776039115142,17.1605222474657,5.0182669780664,13.8773289035116,17.1539371064326,1115.5830078125,1115.81307373047,1116.07836914062,1115.61914260946,0.176530883662779,2,1
571,17865,23.7857622728178,-13.5549176828351,23.7857760350374,-13.5550525932384,23.7857485105982,-13.5547827724317,49,42,7,2.16669806508185,10.3756145723695,15.6880836286509,3.45227067380987,10.7498602783314,15.6808612784451,1116.05908203125,1116.14196777344,1116.27307128906,1115.8763869623,0.0739250730667897,2,1
572,17895,23.7857347483941,-13.5546478620254,23.7857485105982,-13.5547827724317,23.7857209861901,-13.5545129516192,45,29,16,3.73412061262297,10.33119766602,16.5042406259706,4.72879780113254,10.0416898958466,16.5042406259706,1116.0888671875,1116.2624206543,1116.51171875,1116.09287537328,0.128639789650405,2,1
573,17925,23.7857072240015,-13.55437804121,23.7857209861901,-13.5545129516192,23.785693461813,-13.5542431308008,40,29,11,2.9369749538314,11.9064438799123,17.1456801841164,3.9627506308089,13.1170752903247,17.1342759957752,1116.08056640625,1116.29442249645,1116.65173339844,1116.13190172814,0.200331467301392,2,1
